id	url	title	town	area	description	NRIS_no	nara_cat	long-lat
LC_HABS_HAER_ak0436	https://www.loc.gov/item/ak0436	Chief Kashakes' House, Mile 2.5 South Tongass Highway, Saxman, Ketchikan Gateway Borough, AK	Saxman,  Ketchikan Gateway Borough,  AK	Ketchikan Gateway Borough,  AK	HABS AK-190 ;<br> Building/structure dates: 1895 Initial Construction ;<br> National Register of Historic Places NRIS Number: 93000338	93000338	https://catalog.archives.gov/medialz/electronic-records/rg-079/NPS_AK/93000338.pdf	-131.597062, 55.318142
LC_HABS_HAER_ak0258	https://www.loc.gov/item/ak0258	Saints Peter & Paul Russian Orthodox Church, Church Street, Saint Paul, Aleutians West Census Area, AK	Saint Paul,  Aleutians West Census Area,  AK	Aleutians West Census Area,  AK	HABS AK-51 ;<br> National Register of Historic Places NRIS Number: 80000744	80000744	https://catalog.archives.gov/id/80000744	-170.280888, 57.12088
LC_HABS_HAER_ak0101	https://www.loc.gov/item/ak0101	Holy Ascension Russian Orthodox Church, Unalaska Island, Unalaska, Aleutian Islands, AK	Unalaska,  Aleutian Islands,  AK	Aleutian Islands,  AK	HABS AK-37-A ;<br> Building/structure dates: 1894-1896 Initial Construction ;<br> Building/structure dates: ca. 1910 Subsequent Work ;<br> Building/structure dates: before 1961  ;<br> National Register of Historic Places NRIS Number: 70000112	70000112	https://catalog.archives.gov/id/70000112	-166.536174, 53.87549
LC_HABS_HAER_ak0047	https://www.loc.gov/item/ak0047	Naval Operating Base Dutch Harbor & Fort Mears, Unalaska, Aleutian Islands, AK	Unalaska,  Aleutian Islands,  AK	Aleutian Islands,  AK	HABS AK-34 ;<br> Building/structure dates: 1947 Initial Construction ;<br> Building/structure dates: ca. 1987 Demolished ;<br> National Register of Historic Places NRIS Number: 85002733	85002733	https://catalog.archives.gov/id/85002733	-166.548307, 53.885657
LC_HABS_HAER_ak0005	https://www.loc.gov/item/ak0005	Russian-American Company Magazin, 101 Marine Way East, Kodiak, Kodiak Island Borough, AK	Kodiak,  Kodiak Island Borough,  AK	Kodiak Island Borough,  AK	HABS AK-2 ;<br> Building/structure dates: 1793 Initial Construction ;<br> Building/structure dates: 1883 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 66000954	66000954	https://catalog.archives.gov/id/66000954	-152.403358, 57.787663
LC_HABS_HAER_ak0454	https://www.loc.gov/item/ak0454	Kodiak Naval Operating Base, U.S. Coast Guard Station, Kodiak, Kodiak Island Borough, AK	Kodiak,  Kodiak Island Borough,  AK	Kodiak Island Borough,  AK	HABS AK-47 ;<br> National Register of Historic Places NRIS Number: 85002731	85002731	https://catalog.archives.gov/id/85002731	-152.34329, 57.83214
LC_HABS_HAER_ak0461	https://www.loc.gov/item/ak0461	Kodiak Naval Operating Base, Boat House, U.S. Coast Guard Station, across the taxiway from Building No. 25 on Nyman Peninsula, Kodiak, Kodiak Island Borough, AK	Kodiak,  Kodiak Island Borough,  AK	Kodiak Island Borough,  AK	HABS AK-47-I ;<br> Building/structure dates: 1942 Initial Construction ;<br> National Register of Historic Places NRIS Number: 85002731	85002731	https://catalog.archives.gov/id/85002731	-152.500033, 57.737695
LC_HABS_HAER_ak0463	https://www.loc.gov/item/ak0463	Kodiak Naval Operating Base, Aircraft Storehouse, U.S. Coast Guard Station, Albatross Avenue near Cape Spencer Street, Kodiak, Kodiak Island Borough, AK	Kodiak,  Kodiak Island Borough,  AK	Kodiak Island Borough,  AK	HABS AK-47-K ;<br> Building/structure dates: 1942 Initial Construction ;<br> National Register of Historic Places NRIS Number: 85002731	85002731	https://catalog.archives.gov/id/85002731	-152.503721, 57.737949
LC_HABS_HAER_ak0004	https://www.loc.gov/item/ak0004	Saint Michael's Cathedral, Lincoln Street, Sitka, Sitka Borough, AK	Sitka,  Sitka Borough,  AK	Sitka Borough,  AK	HABS AK-1 ;<br> Building/structure dates:    1844- 1848 Initial Construction ;<br> Building/structure dates: 1966 Demolished ;<br> Building/structure dates: 1967-1976 Initial Construction ;<br> National Register of Historic Places NRIS Number: 66000165	66000165	https://catalog.archives.gov/id/66000165	-135.335115, 57.050068
LC_HABS_HAER_ak0270	https://www.loc.gov/item/ak0270	Russian Bishop's House, 501 Lincoln Street, Sitka, Sitka Borough, AK	Sitka,  Sitka Borough,  AK	Sitka Borough,  AK	HABS AK-64 ;<br> Building/structure dates: ca. 1841- 1843 Initial Construction ;<br> Building/structure dates: after. 1972- before. 1988 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 66000025	66000025	https://catalog.archives.gov/id/66000025	-135.331042, 57.051433
