done	id	url	title	town	area	description	NRIS_no	nara_cat	long-lat
	LC_HABS_HAER_mo1062		Vital St. Gemme Beauvais House II, St. Mary's Road, Sainte Genevieve, Ste. Genevieve County, MO	Sainte Genevieve Ste Genevieve County MO	Ste. Genevieve County,  MO	HABS MO-1284 ; Building/structure dates: ca. 1799 Initial Construction ; National Register of Historic Places NRIS Number: 66000892	66000892		wikipedia look up
	LC_HABS_HAER_ak0455		Kodiak Naval Operating Base, Building No. 10, U.S. Coast Guard Station, Kodiak, Kodiak Island Borough, AK	Kodiak Kodiak Island Borough AK	Kodiak Island Borough,  AK	HABS AK-47-C ; National Register of Historic Places NRIS Number: 85002731	85002731		wikipedia look up
	LC_HABS_HAER_ak0291		St. Alexander of Nevsky Russian Orthodox Church, Akutan, Aleutians East Borough, AK	Akutan Aleutians East Borough AK	Aleutians East Borough,  AK	HABS AK-73 ; National Register of Historic Places NRIS Number: 80000738	80000738		wikipedia look up
	LC_HABS_HAER_ak0287		St. Nicholas Russian Orthodox Church, Nikolski, Aleutians West Census Area, AK	Nikolski Aleutians West Census Area AK	Aleutians West Census Area,  AK	HABS AK-69 ; National Register of Historic Places NRIS Number: 80000740	80000740		wikipedia look up
	LC_HABS_HAER_ak0257		Saint George Russian Orthodox Church, St. George Island, Pribilof Islands, Saint George, Aleutians West Census Area, AK	Saint George Aleutians West Census Area AK	Aleutians West Census Area,  AK	HABS AK-50 ; Building/structure dates: 1935-1936 Initial Construction ; Building/structure dates: after. 1975- before. 1979 Subsequent Work ; National Register of Historic Places NRIS Number: 80000743	80000743		wikipedia look up
	LC_HABS_HAER_ak0293		St. Nicholas Russian Orthodox Church, Sand Point, Aleutians East Borough, AK	Sand Point Aleutians East Borough AK	Aleutians East Borough,  AK	HABS AK-75 ; National Register of Historic Places NRIS Number: 80000742	80000742		wikipedia look up
	LC_HABS_HAER_ak0100		Holy Ascension Russian Orthodox Church & Bishop's House, Unalaska Island, Unalaska, Aleutian Islands, AK	Unalaska Aleutian Islands AK	Aleutian Islands,  AK	HABS AK-37 ; Building/structure dates: 1896 Initial Construction ; Building/structure dates: 1882 Subsequent Work ; National Register of Historic Places NRIS Number: 70000112	70000112		wikipedia look up
	LC_HABS_HAER_ak0102		Holy Ascension Russian Orthodox Church, Bishop's House, Unalaska Island, Unalaska, Aleutian Islands, AK	Unalaska Aleutian Islands AK	Aleutian Islands,  AK	HABS AK-37-B ; Building/structure dates: 1882 Initial Construction ; National Register of Historic Places NRIS Number: 70000112	70000112		wikipedia look up
	LC_HABS_HAER_ak0166		Naval Operating Base Dutch Harbor & Fort Mears, Margaret Bay Cantonment Mess Hall, Unalaska, Aleutian Islands, AK	Unalaska Aleutian Islands AK	Aleutian Islands,  AK	HABS AK-34-AA ; Building/structure dates: 1941 Initial Construction ; Building/structure dates: ca. 1987 Demolished ; National Register of Historic Places NRIS Number: 85002733	85002733		wikipedia look up
	LC_HABS_HAER_ak0141		Naval Operating Base Dutch Harbor & Fort Mears, Aerology Operations Building, Unalaska, Aleutian Islands, AK	Unalaska Aleutian Islands AK	Aleutian Islands,  AK	HABS AK-34-B ; Building/structure dates: 1943 Initial Construction ; Building/structure dates: ca. 1987 Demolished ; National Register of Historic Places NRIS Number: 85002733	85002733		wikipedia look up
	LC_HABS_HAER_ak0167		Naval Operating Base Dutch Harbor & Fort Mears, Anti-Aircraft Training Center & Shop, Unalaska, Aleutian Islands, AK	Unalaska Aleutian Islands AK	Aleutian Islands,  AK	HABS AK-34-BB ; Building/structure dates: ca. 1942 Initial Construction ; Building/structure dates: ca. 1987 Demolished ; National Register of Historic Places NRIS Number: 85002733	85002733		wikipedia look up
